country,id,monetary,units,date,New_id,Last_Purchase_date
IN,1881702,1938.72,1,3/23/2020,IN1881702,11/23/2020
IN,1881702,7804.08,8,3/23/2020,IN1881702,11/23/2020
IN,1881702,3664.08,3,3/9/2020,IN1881702,11/23/2020
IN,1881702,7328.1,6,3/16/2020,IN1881702,11/23/2020
IN,1881702,1221.36,1,3/23/2020,IN1881702,11/23/2020
IN,1882122,1929.72,1,3/16/2020,IN1882122,11/30/2020
IN,1882122,2431.56,2,3/23/2020,IN1882122,11/30/2020
IN,1882740,580.26,1,3/9/2020,IN1882740,11/23/2020
IN,1882740,1215.78,1,3/30/2020,IN1882740,11/23/2020
IN,1883118,1629.96,1,4/6/2020,IN1883118,11/30/2020
IN,1883118,997.32,1,3/16/2020,IN1883118,11/30/2020
IN,1883118,7978.56,8,3/23/2020,IN1883118,11/30/2020
IN,1883118,997.32,1,3/30/2020,IN1883118,11/30/2020
IN,1883118,5983.92,6,3/9/2020,IN1883118,11/30/2020
IN,1883118,11967.84,12,3/30/2020,IN1883118,11/30/2020
IN,1883118,6981.24,7,3/30/2020,IN1883118,11/30/2020
IN,1883118,-1221.36,-1,3/16/2020,IN1883118,11/30/2020
IN,1883118,6268.32,5,3/9/2020,IN1883118,11/30/2020
IN,1883118,6268.32,5,3/16/2020,IN1883118,11/30/2020
IN,1883118,12536.64,10,3/23/2020,IN1883118,11/30/2020
IN,1883118,3728.7,3,3/16/2020,IN1883118,11/30/2020
IN,1883118,5014.68,4,3/23/2020,IN1883118,11/30/2020
IN,1883118,11283,9,3/30/2020,IN1883118,11/30/2020
IN,1886304,4852.98,5,3/9/2020,IN1886304,11/16/2020
IN,1886304,8510.34,7,3/9/2020,IN1886304,11/16/2020
IN,1886304,1215.78,1,3/16/2020,IN1886304,11/16/2020
IN,1886304,1215.78,1,3/23/2020,IN1886304,11/16/2020
IN,1886304,1215.78,1,3/30/2020,IN1886304,11/16/2020
IN,1886310,1221.36,1,3/16/2020,IN1886310,7/20/2020
IN,1886844,5799.72,6,3/16/2020,IN1886844,11/23/2020
IN,1887822,2422.26,2,3/23/2020,IN1887822,11/23/2020
IN,1888104,626.28,1,3/30/2020,IN1888104,11/23/2020
IN,1888104,292.2,1,3/16/2020,IN1888104,11/23/2020
IN,1888104,584.46,2,3/23/2020,IN1888104,11/23/2020
IN,1888104,2442.84,2,3/30/2020,IN1888104,11/23/2020
IN,1888290,1211.1,1,3/23/2020,IN1888290,11/23/2020
IN,1891950,369.6,1,3/30/2020,IN1891950,10/5/2020
IN,1896798,11501.7,6,3/23/2020,IN1896798,11/23/2020
IN,1896798,13491.24,14,3/9/2020,IN1896798,11/23/2020
IN,1896798,963.66,1,3/16/2020,IN1896798,11/23/2020
IN,1896798,10600.26,11,3/23/2020,IN1896798,11/23/2020
IN,1896798,1947.24,2,3/30/2020,IN1896798,11/23/2020
IN,1896798,19472.46,20,4/6/2020,IN1896798,11/23/2020
IN,1896798,15699.96,13,3/23/2020,IN1896798,11/23/2020
IN,1896798,1207.68,1,3/30/2020,IN1896798,11/23/2020
IN,1897662,33831.72,35,3/9/2020,IN1897662,11/16/2020
IN,1897662,2899.86,3,3/23/2020,IN1897662,11/16/2020
IN,1898088,978.18,1,3/30/2020,IN1898088,11/23/2020
IN,1900596,4852.02,4,3/9/2020,IN1900596,9/21/2020
IN,1900746,1213.02,1,3/16/2020,IN1900746,10/12/2020
IN,1900980,968.22,1,3/9/2020,IN1900980,11/23/2020
IN,1900980,622.38,1,3/30/2020,IN1900980,11/23/2020
IN,1900980,1244.7,2,4/6/2020,IN1900980,11/23/2020
IN,1900980,1213.02,1,3/16/2020,IN1900980,11/23/2020
IN,1900980,1213.02,1,3/23/2020,IN1900980,11/23/2020
IN,1900980,2426.04,2,4/6/2020,IN1900980,11/23/2020
IN,1906938,3238.38,1,3/30/2020,IN1906938,10/19/2020
IN,1906938,1962.3,2,3/30/2020,IN1906938,10/19/2020
IN,1914078,1221.36,1,3/9/2020,IN1914078,8/3/2020
IN,1914078,2442.72,2,3/16/2020,IN1914078,8/3/2020
IN,1914078,14656.5,12,3/23/2020,IN1914078,8/3/2020
IN,1914078,2442.84,2,3/30/2020,IN1914078,8/3/2020
IN,1926756,3238.38,1,3/9/2020,IN1926756,11/23/2020
IN,1926756,1941.18,2,3/9/2020,IN1926756,11/23/2020
IN,1926756,970.62,1,3/16/2020,IN1926756,11/23/2020
IN,1926756,-1215.78,-1,3/30/2020,IN1926756,11/23/2020
IN,1926756,3647.28,3,3/9/2020,IN1926756,11/23/2020
IN,1926756,1215.78,1,3/16/2020,IN1926756,11/23/2020
IN,1926756,1215.78,1,3/23/2020,IN1926756,11/23/2020
IN,1926756,1215.78,1,3/30/2020,IN1926756,11/23/2020
IN,1931400,4080.84,7,3/30/2020,IN1931400,11/30/2020
IN,1931400,7328.1,6,3/9/2020,IN1931400,11/30/2020
IN,1931400,6106.74,5,3/23/2020,IN1931400,11/30/2020
IN,1931400,2442.84,2,3/30/2020,IN1931400,11/30/2020
IN,1931730,1922.46,1,3/16/2020,IN1931730,11/23/2020
IN,1931730,9666.24,10,3/23/2020,IN1931730,11/23/2020
